Sample Name,Host Genome,Sample Type,Nucleotide Type,Collection Date,Collection Location,Known Organism,Water Control,Host Sex,Age at infection (days),Biosample,temperature,Diseases and Conditions,Infection Class,Time
SRR12515807,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,123,35,Zika,Definite,
SRR12515808,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,122,35,Zika,Definite,
SRR12515809,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,121,35,Zika,Definite,
SRR12515810,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,13,25,Zika,Definite,
SRR12515811,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,120,35,Zika,Definite,
SRR12515812,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,119,35,Zika,Definite,
SRR12515813,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,118,35,Zika,Definite,
SRR12515814,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,117,35,Zika,Definite,
SRR12515815,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,116,35,Zika,Definite,
SRR12515816,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,115,35,Zika,Definite,
SRR12515817,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,114,35,Zika,Definite,
SRR12515818,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,113,35,Zika,Definite,
SRR12515819,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,112,35,Zika,Definite,
SRR12515820,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,111,35,Zika,Definite,
SRR12515821,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,12,25,Zika,Definite,
SRR12515822,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,110,35,Zika,Definite,
SRR12515823,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,109,35,Zika,Definite,
SRR12515824,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,108,35,Zika,Definite,
SRR12515825,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,107,35,Zika,Definite,
SRR12515826,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,106,35,Zika,Definite,
SRR12515827,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,105,32,Zika,Definite,
SRR12515829,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,103,32,Zika,Definite,
SRR12515830,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,102,32,Zika,Definite,
SRR12515831,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,101,32,Zika,Definite,
SRR12515832,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,11,25,Zika,Definite,
SRR12515833,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,2,25,Zika,Definite,
SRR12515834,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,1,25,Zika,Definite,
SRR12515835,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,100,32,Zika,Definite,
SRR12515836,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,99,32,Zika,Definite,
SRR12515837,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,98,32,Zika,Definite,
SRR12515838,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,97,32,Zika,Definite,
SRR12515839,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,96,32,Zika,Definite,
SRR12515840,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,95,32,Zika,Definite,
SRR12515841,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,94,32,Zika,Definite,
SRR12515842,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,93,32,Zika,Definite,
SRR12515843,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,92,32,Zika,Definite,
SRR12515844,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,91,32,Zika,Definite,
SRR12515845,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,10,25,Zika,Definite,
SRR12515846,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,90,32,Zika,Definite,
SRR12515847,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,89,32,Zika,Definite,
SRR12515848,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,88,32,Zika,Definite,
SRR12515849,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,87,32,Zika,Definite,
SRR12515850,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,86,32,Zika,Definite,
SRR12515851,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,85,32,Zika,Definite,
SRR12515852,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,84,32,Zika,Definite,
SRR12515853,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,83,32,Zika,Definite,
SRR12515854,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,82,32,Zika,Definite,
SRR12515855,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,81,32,Zika,Definite,
SRR12515856,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,9,25,Zika,Definite,
SRR12515857,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,80,32,Zika,Definite,
SRR12515858,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,79,32,Zika,Definite,
SRR12515859,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,78,32,Zika,Definite,
SRR12515860,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,77,32,Zika,Definite,
SRR12515861,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,76,32,Zika,Definite,
SRR12515862,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,75,32,Zika,Definite,
SRR12515863,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,74,32,Zika,Definite,
SRR12515864,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,73,32,Zika,Definite,
SRR12515865,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,72,32,Zika,Definite,
SRR12515866,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,71,32,Zika,Definite,
SRR12515867,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,8,25,Zika,Definite,
SRR12515868,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,70,32,Zika,Definite,
SRR12515869,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,69,28,Zika,Definite,
SRR12515870,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,68,28,Zika,Definite,
SRR12515871,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,67,28,Zika,Definite,
SRR12515872,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,66,28,Zika,Definite,
SRR12515873,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,65,28,Zika,Definite,
SRR12515874,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,64,28,Zika,Definite,
SRR12515875,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,63,28,Zika,Definite,
SRR12515876,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,62,28,Zika,Definite,
SRR12515877,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,61,28,Zika,Definite,
SRR12515878,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,7,25,Zika,Definite,
SRR12515879,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,60,28,Zika,Definite,
SRR12515880,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,59,28,Zika,Definite,
SRR12515881,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,58,28,Zika,Definite,
SRR12515882,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,57,28,Zika,Definite,
SRR12515883,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,56,28,Zika,Definite,
SRR12515884,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,55,28,Zika,Definite,
