Gene.ID,genus_tax_id,tax_level,name,category,SRR12515807,SRR12515808,SRR12515809,SRR12515810,SRR12515811,SRR12515812,SRR12515813,SRR12515814,SRR12515815,SRR12515816,SRR12515817,SRR12515818,SRR12515819,SRR12515820,SRR12515821,SRR12515822,SRR12515823,SRR12515824,SRR12515825,SRR12515826,SRR12515827,SRR12515829,SRR12515830,SRR12515831,SRR12515832,SRR12515833,SRR12515834,SRR12515835,SRR12515836,SRR12515837,SRR12515838,SRR12515839,SRR12515840,SRR12515841,SRR12515842,SRR12515843,SRR12515844,SRR12515845,SRR12515846,SRR12515847,SRR12515848,SRR12515849,SRR12515850,SRR12515851,SRR12515852,SRR12515853,SRR12515854,SRR12515855,SRR12515856,SRR12515857,SRR12515858,SRR12515859,SRR12515860,SRR12515861,SRR12515862,SRR12515863,SRR12515864,SRR12515865,SRR12515866,SRR12515867,SRR12515868,SRR12515869,SRR12515870,SRR12515871,SRR12515872,SRR12515873,SRR12515874,SRR12515875,SRR12515876,SRR12515877,SRR12515878,SRR12515879,SRR12515880,SRR12515881,SRR12515882,SRR12515883,SRR12515884,SRR12515885,SRR12515886,SRR12515887,SRR12515888,SRR12515889,SRR12515890,SRR12515891,SRR12515892,SRR12515893,SRR12515894,SRR12515895,SRR12515896,SRR12515897,SRR12515898,SRR12515899,SRR12515900,SRR12515901,SRR12515902,SRR12515903,SRR12515904,SRR12515905,SRR12515906,SRR12515907,SRR12515908,SRR12515909,SRR12515910,SRR12515911,SRR12515912,SRR12515913,SRR12515914,SRR12515915,SRR12515916,SRR12515917,SRR12515918,SRR12515919,SRR12515920,SRR12515921,SRR12515922,SRR12515923,SRR12515924,SRR12515925,SRR12515926,SRR12515927,SRR12515928,SRR12515929,SRR12515930,SRR12515931,SRR12515932,SRR12515933,SRR12515934,SRR12515935,SRR12515936,SRR12515937,SRR12515938,SRR12515939,SRR12515940,SRR12515941,SRR12515942,SRR12515943,SRR12515944,SRR12515945,SRR12515946,SRR12515947,SRR12515948,SRR12515949,SRR12515950,SRR12515951,SRR12515952,SRR12515953,SRR12515954,SRR12515955,SRR12515956,SRR12515957,SRR12515958,SRR12515959,SRR12515960,SRR12515961,SRR12515962,SRR12515963,SRR12515964,SRR12515965,SRR12515966,SRR12515967,SRR12515968,SRR12515969,SRR12515970,SRR12515971,SRR12515972,SRR12515973,SRR12515974,SRR12515975,SRR12515976,SRR12515977,SRR12515978,SRR12515979,SRR12515980,SRR12515981,SRR12515982,SRR12515983,SRR12515984,SRR12515985,SRR12515986,SRR12515987,SRR12515988
64320,11051,1,Zika virus,viruses,414319,130232,2204079,2620564,2881376,2349834,653379,312824,756001,357,6668,17089,400599,3863352,41512,643081,3012078,1171158,1293380,656856,51844,33380,4776153,5093099,46095,1221306,298506,5110146,2538995,681176,1837547,43658,39195,2369455,5965810,5961446,6200109,72331,3683992,5034926,4375382,129421,2254,24895,4196333,2940393,2836629,100207,164495,144655,167582,5299710,29541,87592,2621063,4533170,3806523,139612,777475,196134,456830,70417,1761,27511,5129310,5138146,3461512,761877,131619,501881,50869,139842,1075162,614716,3539556,4611408,4768894,3597773,333256,1403805,76807,4188158,14617,116,10323,2132473,2880152,4579441,375111,74404,299911,631593,2919960,97570,551991,5243847,4771201,2776928,3070210,2447539,772382,471730,51004,4659953,135,3546255,16651,122300,79528,1529,180,132678,7439,4647873,2750813,5265364,5423639,5272176,5585615,2525233,1201161,585956,4504274,40095,277404,280475,3538295,2440555,3082299,2016,477317,262584,116484,82849,9629,8201,3215694,3153551,3285890,172063,4134472,113724,76090,11040,379,14353,123522,493721,1693046,4220392,1460373,2619651,927141,966992,951249,6960,56547,3608594,3654029,5144168,2495743,2807309,1415465,2714892,342111,521643,265387,151903,17511,79604,85497,478500,12530,2136322,4528761,3843863,141995,3274305,1772246,612196,59777
64293,11051,1,Tembusu virus,viruses,0,0,0,34,0,52,16,0,61,0,0,0,0,132,0,5,23,72,127,0,0,0,278,125,0,48,0,274,14,0,50,0,0,16,202,565,494,0,57,116,2105,14,0,0,83,57,4,7,0,13,5,0,0,0,57,20,17,0,24,0,18,0,0,0,511,448,33,0,0,0,0,0,0,0,32,43,190,322,0,12,0,62,0,0,0,14,5,114,25,24,4,0,40,0,0,71,201,5,217,10,18,2,2,114,0,406,0,0,0,0,0,0,0,120,41,136,58,130,208,56,21,0,247,0,0,0,20,1,110,0,0,0,3,0,0,0,55,88,37,28,231,0,0,0,0,0,0,2,27,56,28,65,17,0,0,0,0,15,5,525,47,19,38,80,16,7,3,5,1,0,0,0,0,43,127,26,0,72,122,3,0
12637,11051,1,Dengue virus,viruses,82,42,331,233,428,231,78,3,768,0,0,0,65,388,0,17,407,106,187,24,0,0,461,352,0,150,7,446,327,46,1558,0,136,192,457,517,522,33,354,327,547,0,10,0,351,400,345,22,0,161,41,0,18,0,243,503,487,44,29,0,53,0,0,0,370,204,264,69,57,0,0,0,239,0,298,670,767,545,53,65,0,446,0,0,0,131,654,863,29,30,119,0,227,0,210,406,266,347,330,188,71,12,2,395,0,324,0,11,0,0,0,0,0,279,322,609,489,430,361,87,233,18,438,0,0,0,482,191,280,0,12,3,6,0,0,0,359,646,230,69,761,0,27,0,0,0,0,32,220,347,192,217,68,19,0,0,0,448,357,430,256,278,143,317,42,16,12,9,0,2,0,0,0,192,358,320,0,322,140,19,13
44024,11051,1,Kokobera virus,viruses,0,0,62,29,67,262,32,20,236,0,0,0,0,352,22,12,73,41,38,0,0,113,378,335,39,46,12,399,72,0,97,0,0,161,166,234,614,21,141,319,89,0,0,0,117,103,856,129,0,60,26,0,0,0,424,78,672,11,60,0,79,0,0,0,53,108,35,0,0,0,0,0,0,0,289,604,267,350,0,45,0,497,39,0,0,50,61,228,11,0,28,0,144,0,0,223,210,62,238,36,38,4,0,576,0,75,0,0,5,0,0,0,0,400,285,305,439,117,521,28,731,19,365,0,0,0,162,150,43,0,2,4,0,53,0,0,203,168,72,23,329,59,0,0,0,0,0,8,42,137,47,184,17,9,0,0,0,83,46,167,28,469,36,268,25,3,0,0,0,0,0,0,403,66,140,94,0,219,47,1,0
11079,11051,1,Murray Valley encephalitis virus,viruses,0,0,10,41,9,13,18,0,0,0,0,0,0,421,0,9,32,79,27,0,0,0,132,131,0,8,0,298,181,0,13,58,0,78,330,284,155,0,17,332,391,0,0,0,107,111,150,41,0,21,19,0,0,0,150,87,27,0,0,0,20,0,0,0,264,52,105,0,0,0,0,0,0,0,96,159,70,436,0,11,0,50,0,0,0,17,362,265,0,1,0,0,8,0,0,74,216,83,30,33,0,2,2,124,0,64,0,0,0,0,0,0,0,119,205,78,109,148,399,224,95,18,201,0,0,0,95,41,137,0,0,0,0,0,0,0,97,39,107,0,111,0,0,0,0,0,0,3,4,14,52,44,9,0,0,0,0,80,71,43,37,35,3,22,3,2,4,18,0,0,0,0,0,33,109,28,0,286,67,1,0
11082,11051,1,West Nile virus,viruses,0,0,63,13,22,18,26,21,56,0,0,0,0,29,0,22,298,2,83,0,0,0,22,28,0,40,0,15,42,0,147,0,0,32,43,77,115,0,769,113,10,0,0,0,39,28,34,29,0,190,0,0,0,0,20,34,31,14,6,0,43,0,0,0,12,22,6,0,0,0,0,0,0,0,22,55,51,24,0,0,0,14,0,0,0,8,11,31,33,0,48,0,8,0,0,11,30,16,35,19,45,2,0,29,0,48,0,0,2,0,0,0,0,49,226,45,25,18,48,49,121,0,19,0,0,0,20,15,12,0,0,0,0,0,0,0,356,16,10,0,76,0,0,0,0,0,0,0,15,15,47,5,3,0,0,0,0,39,31,25,17,0,5,28,0,1,1,0,0,0,0,0,0,5,17,17,0,35,19,3,24
11080,11051,1,Saint Louis encephalitis virus,viruses,0,0,8,0,26,0,0,0,39,0,0,0,0,9,0,1,0,0,74,0,0,0,14,32,0,19,0,0,0,0,0,0,0,0,38,45,16,0,98,31,80,0,0,0,3,24,9,0,0,0,0,0,0,0,86,23,2,2,0,0,5,0,0,0,34,18,48,0,0,0,0,0,0,0,26,131,32,316,0,0,0,0,0,0,0,0,76,13,0,0,0,0,0,0,0,15,232,124,25,11,0,0,0,0,0,32,0,0,0,0,0,0,0,23,7,31,17,8,16,9,0,0,0,0,0,0,10,1,2,0,0,0,0,0,0,0,10,0,0,0,178,0,0,0,0,0,0,0,2,7,13,6,0,0,0,0,0,0,28,2,0,23,13,0,0,0,0,0,0,0,0,0,0,9,62,14,0,0,15,0,0
11665,11646,1,Equine infectious anemia virus,viruses,3365,9135,369,96,375,723,16942,4142,15017,24,21813,6750,18173,2881,8728,403,15398,11966,35637,1959,97791,86002,18817,8682,19607,8626,2289,5594,91704,56357,29589,92326,78942,207702,6154,2641,899,31741,17637,33640,71706,5153,298,6512,1393,132,310,14425,29043,23327,9136,10653,1680,10227,1447,60,796,8244,222,14296,19337,387046,270786,351058,2231,2684,3597,25739,38924,30911,10696,17638,32328,23224,185,126,42,1220,615,988,18169,289,44808,4,29227,104,2873,375,25524,18975,13642,7418,1008,12088,22722,237,2550,5972,8035,6671,13083,323,1750,381,695,291,27198,12285,14301,13090,0,24587,18727,60,14786,29,5681,1389,44,19175,53841,10286,51396,24173,19020,17774,125,191,186,1616,328,378,307,38125,9749,2837,13923,11583,247,70386,1256,46774,853,15035,0,5780,34132,358,132,4868,7862,1715,266,1624,47016,5761,18400,1492,3017,186,15435,6251,5695,9873,23667,459,251,2482,775,1037,15766,13552,17692,52,209,136,254,864,619,241,461
2170080,11095,1,Pestivirus A,viruses,23538,17376,1107,456,1263,2812,1918,1456,1710,4,32643,16824,33125,642,4555,646,1056,2254,5816,4655,759,1436,595,923,5257,5303,4840,108,141,195,2144,316,126,90,0,8,16,6207,90,120,1208,8803,596,8647,175,312,289,283,95108,563,208,52541,3380,14104,210,192,167,863,725,58999,243,31856,29198,106724,1164,864,998,5647,9191,6988,44765,20973,55441,41280,655,870,240,1455,4008,1395,33579,787,8264,0,58282,362,313,434,5442,741,4848,19731,1126,22772,79834,619,828,1446,3738,3387,4885,45,159,1610,0,54,0,0,0,18581,4,19465,31108,355,5477,140,2913,666,191,3925,23589,6046,15594,38284,47319,48749,803,422,915,5210,1763,2507,959,13480,5990,5902,794,534,609,2149,3761,2431,5558,21281,0,8367,82687,1207,770,1220,1844,4553,1616,3205,102551,8548,22666,880,928,568,2316,3163,1106,4019,0,111,74,671,150,363,29124,19792,16060,428,1035,589,1369,2307,2643,674,2388
34073,34072,1,Variovorax paradoxus,bacteria,24758,3482,473,42,495,472,1718,604,6503,58,37010,2477,9825,451,316,147,278,722,8744,3747,10401,8674,3556,2121,27988,458,778,2106,25110,12413,5912,11191,6432,25432,1629,778,323,500,5374,5030,11151,16517,380,23731,70,114,167,189,25451,163,193,28606,2607,21396,65,280,123,218,298,7632,374,51508,34878,50967,985,1118,1230,17316,21828,15084,3372,9169,32115,11204,153,256,246,8566,610,555,18006,111,2077,0,48861,67,414,62,16303,95,585,1903,576,14814,7403,457,118,756,417,767,645,169,517,152,4780,92,12353,1410,3022,25283,0,15694,5515,839,702,58,1848,381,63,4750,15356,4375,12384,28043,3932,11520,99,104,191,2092,198,330,1873,13255,5425,653,506,495,1788,645,1593,479,864,13762,6,1413,15494,162,174,656,320,5301,177,635,38931,2113,4810,98,441,747,3730,781,198,615,8672,157,59,1239,122,442,19976,27268,6649,92,214,113,571,1697,577,197,726
