Sample Name,Host Genome,Sample Type,Nucleotide Type,Collection Date,Collection Location,Known Organism,Water Control,Host Sex,Age at infection (days),RNA Extraction Time Post Exposure (days),Temperature Treatment (C),Diseases and Conditions,Infection Class,Treatment code
SRR11715726,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,32,Chikungunya,Denfinite,Ch.32.3
SRR11715727,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,18,Chikungunya,Denfinite,Ch.18.3
SRR11715729,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,32,Chikungunya,Denfinite,Ch.32.3
SRR11715730,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,32,Chikungunya,Denfinite,Ch.32.3
SRR11715731,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,32,Control,No infection,Co.32.7
SRR11715732,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,32,Control,No infection,Co.32.7
SRR11715733,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,32,Chikungunya,Denfinite,Ch.32.3
SRR11715734,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,32,Control,No infection,Co.32.7
SRR11715735,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,32,Control,No infection,Co.32.7
SRR11715736,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,32,Control,No infection,Co.32.7
SRR11715737,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,32,Control,No infection,Co.32.7
SRR11715738,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,28,Control,No infection,Co.28.7
SRR11715739,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,28,Control,No infection,Co.28.7
SRR11715740,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,28,Control,No infection,Co.28.7
SRR11715741,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,28,Control,No infection,Co.28.7
SRR11715742,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,28,Control,No infection,Co.28.7
SRR11715743,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,7,28,Control,No infection,Co.28.7
SRR11715744,Mosquito,Midgut,RNA,07/31/20,"Hammond Island, Torres Strait, Australia",Aedes aegypti,No,Female,6,3,32,Chikungunya,Denfinite,Ch.32.3
