Gene.ID,tax_id,tax_level,genus_tax_id,name,category,SRR11715726,SRR11715727,SRR11715729,SRR11715730,SRR11715731,SRR11715732,SRR11715733,SRR11715734,SRR11715735,SRR11715736,SRR11715737,SRR11715738,SRR11715739,SRR11715740,SRR11715741,SRR11715742,SRR11715743,SRR11715744,SRR11715745,SRR11715746,SRR11715747,SRR11715748,SRR11715749,SRR11715750,SRR11715751,SRR11715752,SRR11715753,SRR11715754,SRR11715755,SRR11715756,SRR11715757,SRR11715758,SRR11715759,SRR11715760,SRR11715761,SRR11715762,SRR11715763,SRR11715764,SRR11715765,SRR11715766,SRR11715767,SRR11715768,SRR11715769,SRR11715770,SRR11715771,SRR11715773,SRR11715774,SRR11715775,SRR11715776,SRR11715777,SRR11715778,SRR11715779,SRR11715780,SRR11715782,SRR11715783,SRR11715784,SRR11715785,SRR11715786,SRR11715787,SRR11715788,SRR11715789,SRR11715790,SRR11715791,SRR11715792,SRR11715793,SRR11715794,SRR11715795,SRR11715796,SRR11715797
1,37124,1,11019,Chikungunya virus,viruses,1105687,2163,22374,1306962,0,0,159131,0,28,0,0,0,0,0,0,96,0,225819,14,14,0,0,149,85,0,0,0,0,1875,0,0,0,0,0,0,386,491,534,494,2549,603,500,770,1515,602188,2116872,1669747,1844825,2226693,1121,127,103753,140,1240037,1535830,12329,411,188,209,1153,11323,8752,121,144,16066,11635,48,247,41672
19,2689328,1,-200011012,Atrato Partiti-like virus 3,viruses,1611,17985,8801,685,12080,2004,940,14788,23207,10613,101812,12242,15506,1695,11509,7045,44567,724,6,4135,8117,1839,4280,368,27632,12503,4565,17770,5532,5230,2802,13692,5278,15,3772,2546,5854,9006,656,773,5967,1876,706,1999,16561,3625,0,5176,9418,13034,7526,3943,149,390,10705,1368,8435,7448,1605,0,25906,11654,26869,914,2716,8495,2145,18008,12168
21,148814,1,1578,Lactobacillus kunkeei,bacteria,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1590,1,1578,Lactobacillus plantarum,bacteria,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1435,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
26,2419772,1,1578,Lactobacillus sp. BHWM-4,bacteria,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1218495,1,1578,Lactobacillus apinorum,bacteria,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,53444,1,1578,Lactobacillus lindneri,bacteria,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1589,1,1578,Lactobacillus pentosus,bacteria,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,28038,1,1578,Lactobacillus curvatus,bacteria,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,60520,1,1578,Lactobacillus paraplantarum,bacteria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0
