Gene.ID,logFC,logCPM,LR,PValue,FDR,genus_tax_id,tax_level,name,category
1049,-0.329806766834064,3.26306812631701,-2.56302753243176e-07,1,1,85072,1,Allochromatium vinosum,bacteria
106,-0.0224273436268122,7.17863641924658,0.12735836472369,0.721186855486923,1,105,1,Runella slithyformis,bacteria
1063,-0.0233759552399676,2.51774989618812,-2.74078892914531e-09,1,1,1060,1,Rhodobacter sphaeroides,bacteria
11034,-0.0686193220573385,2.4940887954768,1.78270465056585e-09,0.999966311648479,1,11019,1,Sindbis virus,viruses
1108,0.0776127909372016,3.71888139355963,2.31329681242357,0.128271732575443,1,1107,1,Chloroflexus aurantiacus,bacteria
1126,0.0182858075521612,3.50018676935387,1.696791627182,0.192708097369613,1,1125,1,Microcystis aeruginosa,bacteria
1211,0.05581988352773,5.86038714491938,0.839868065677209,0.359434506824716,1,-200,1,uncultured cyanobacterium,bacteria
1252,0.032093005539323,6.8712783327296,0.287279399995612,0.591969252721522,1,1243,1,Leuconostoc carnosum,bacteria
1254,0.10111731630307,2.63048787519699,1.54854286726902e-07,0.999686020230464,1,1253,1,Pediococcus acidilactici,bacteria
12637,0.0149291552862045,2.53795101938531,4.01884978629141e-08,0.999840047532002,1,11051,1,Dengue virus,viruses
1302,-0.0532131404780273,4.11058912805884,5.72532172782303e-08,0.999809085020348,1,1301,1,Streptococcus gordonii,bacteria
1304,-0.00962599542579804,2.6886595089293,4.10010621010315e-08,0.999838438598468,1,1301,1,Streptococcus salivarius,bacteria
1307,0.141347610452375,2.85998091137181,7.21400041925335e-08,0.999785697055682,1,1301,1,Streptococcus suis,bacteria
1310,-0.0702592207161299,2.85374033487365,8.6229881901545e-08,0.999765701800669,1,1301,1,Streptococcus sobrinus,bacteria
1313,0.157279103549744,3.91140839422194,4.15091203187205,0.0416121050904998,0.590828362353662,1301,1,Streptococcus pneumoniae,bacteria
1314,0.118729860551493,5.87289216830015,2.77681681346174,0.0956380796786004,0.983460979940248,1301,1,Streptococcus pyogenes,bacteria
1338,-0.0883499220944166,4.22494660752362,2.34500806031799,0.125684911514552,1,1301,1,Streptococcus intermedius,bacteria
1351,-0.0089060079342358,3.45946231806238,0.46508097988351,0.495258894831277,1,1350,1,Enterococcus faecalis,bacteria
1352,0.177155372883496,4.83329739300742,8.16228052200704,0.00427705567370168,0.116990052251252,1350,1,Enterococcus faecium,bacteria
1355,0.0909813644210201,5.71490591207174,1.47428070498114,0.224671507515578,1,1350,1,Enterococcus columbae,bacteria
1376,-0.104270361031479,3.91545565620596,-1.68851990167695e-08,1,1,1375,1,Aerococcus urinae,bacteria
1379,-0.0834842377870264,6.79016893971882,-7.31934903797082e-08,1,1,1378,1,Gemella haemolysans,bacteria
1422,0.0246092152251756,4.31508403939093,0.154155484331525,0.694595443196677,1,129337,1,Geobacillus stearothermophilus,bacteria
1428,0.0204743368170513,7.55801497159147,0.0886842753979238,0.765856538106702,1,1386,1,Bacillus thuringiensis,bacteria
1450,0.0189226706231101,2.92281013578407,2.18003027185887e-07,0.999627461374543,1,29330,1,Alicyclobacillus acidoterrestris,bacteria
1467,-0.170943726539582,2.65659791180092,9.7766950091227e-09,0.999921107431713,1,1386,1,Bacillus lentus,bacteria
1474,0.165677873234104,3.68969537073559,3.64337794592947,0.0562926125630231,0.684341564491654,1569,1,Sporosarcina pasteurii,bacteria
1476,0.141162294765304,3.35089031238935,3.7641614169512,0.0523621081611499,0.662540960406386,1569,1,Sporosarcina psychrophila,bacteria
1493,-0.00727458812014275,3.20383958311377,4.59665336904891e-08,0.999828935089027,1,1485,1,Clostridium cellulovorans,bacteria
1498,0.0149605513818737,2.53824055159052,4.03558519934677e-08,0.999839714838603,1,1769729,1,Hathewaya histolytica,bacteria
1504,-0.106985400852404,2.70559124773566,-5.59401147626204e-09,1,1,1485,1,Clostridium septicum,bacteria
1517,-0.0623052371027073,2.87373998503433,-1.85823658682693e-08,1,1,28895,1,Thermoanaerobacterium thermosaccharolyticum,bacteria
1520,0.0572467751205725,2.62586214646419,3.11882413228659e-08,0.999859092048184,1,1485,1,Clostridium beijerinckii,bacteria
1522,-0.0486495717090793,2.59537606977384,8.16797118829982e-09,0.999927889723725,1,1505663,1,[Clostridium] innocuum,bacteria
1532,-0.0133420314065242,3.30750360129889,1.20048241569748e-07,0.99972354913427,1,572511,1,Blautia coccoides,bacteria
1561,0.103866502010184,6.40586935247943,2.82493189983164,0.0928108288514028,0.969821020582074,1485,1,Clostridium baratii,bacteria
1575,-0.0291437121879874,3.08730908289848,7.90740664058376e-08,0.99977563397577,1,110932,1,Leifsonia xyli,bacteria
1583,0.125811661332653,3.12204367928829,4.96057011619627,0.0259316565182551,0.427141131811686,46255,1,Weissella confusa,bacteria
