Gene.ID,logFC,logCPM,LR,PValue,FDR,tax_id,tax_level,genus_tax_id,name
1,1.69061284196363,17.3483119454464,2.17369219328081,0.140388814832434,0.838096529644451,37124,1,11019,Chikungunya virus
10058,-2.20693465781827,2.52232751494638,1.52924082286177e-08,0.999901331619068,1,1810504,1,1934947,Immundisolibacter cernigliae
10060,-2.5016577041322,2.55767901585379,1.57614731044475e-07,0.999683234078652,1,148447,1,1822464,Paraburkholderia phymatum
10101,0.0355776257207033,4.22561086787577,6.62097541237472e-08,0.999794694282426,1,1296,1,1279,Staphylococcus sciuri
10107,-1.87697057661049e-11,3.01095234847306,-2.59831622884121e-09,1,1,482564,1,1158,Oscillatoria nigro-viridis
10113,-2.11769405788485e-10,2.63100645578188,-1.70449698799757e-09,1,1,404011,1,22,Shewanella piezotolerans
10114,1.79681159232649,2.64474619262495,1.06151308187918e-07,0.999740042274083,1,535744,1,413496,Cronobacter universalis
1012,0.851510872371095,2.92645634604924,1.93623474586957e-07,0.999648909521119,1,549,1,53335,Pantoea agglomerans
10120,1.59098838420618,3.27181771030526,1.44909655830361e-07,0.999696269284312,1,41,1,40,Stigmatella aurantiaca
10122,-2.11769405788485e-10,2.63100645578188,-1.70449698799757e-09,1,1,33964,1,1243,Leuconostoc citreum
10124,-0.571739590800723,2.6382264059129,2.57353036658969e-08,0.999872001550709,1,160660,1,1765964,Acidihalobacter prosperus
10126,-1.00166889829674e-11,2.53732139236598,-3.76196851448185e-10,1,1,708126,1,1470540,Jeotgalibaca dankookensis
10127,-2.11769405788485e-10,2.63100645578188,-1.70449698799757e-09,1,1,1231,1,35798,Nitrosospira multiformis
10130,-1.28905088703486e-07,2.4952641486263,6.59348842191321e-09,0.999935211535834,1,2057026,1,547,Enterobacter sp. EA-1
10139,-1.93925134146899,2.64715692714439,1.56630184378059e-08,0.999900143166581,1,340016,1,-200,uncultured virus
10142,-1.46834829014161e-09,2.64166753943109,1.01998880452925e-08,0.999919418051752,1,11320,1,197911,Influenza A virus
10151,-2.75577538090921,3.3334274677093,-4.1006487094819e-10,1,1,413503,1,413496,Cronobacter malonaticus
10164,-1.28905088703486e-07,2.4952641486263,6.59348842191321e-09,0.999935211535834,1,351679,1,626,Xenorhabdus hominickii
10167,3.55384270372525,2.74940079771783,4.4065580517838e-08,0.999832509643781,1,1858609,1,12916,Acidovorax sp. T1
10176,-0.178454786337362,2.54184643948285,1.43716944123184e-07,0.999697521829102,1,1891675,1,53335,Pantoea alhagi
10184,-6.67292848120574e-07,2.54502629083891,1.6916185785476e-08,0.999896225348551,1,204038,1,204037,Dickeya dadantii
10193,-6.67292848120574e-07,2.54502629083891,1.6916185785476e-08,0.999896225348551,1,421,1,416,Methylomonas methanica
10198,-2.50165660702698,2.74385005138123,3.19701722872878e-08,0.999857336607403,1,84135,1,1378,Gemella sanguinis
1020,0.545156562596741,2.4536715196913,-4.49932961998911e-08,1,1,651183,1,182269,Aurantimonas manganoxydans
10211,3.3263523969211,2.69047237014367,-2.55990489250735e-07,1,1,61648,1,579,Kluyvera intermedia
10212,-6.67292848120574e-07,2.54502629083891,1.6916185785476e-08,0.999896225348551,1,261292,1,914,Nitrosomonas sp. Is79A3
10213,-6.67292848120574e-07,2.54502629083891,1.6916185785476e-08,0.999896225348551,1,59620,1,1485,uncultured Clostridium sp.
10222,-0.145348154638484,2.4909259569666,1.7450916711681e-07,0.999666689364431,1,83406,1,-200,gamma proteobacterium HdN1
10226,1.62787976494412e-09,2.53404258581776,2.57609102938261e-08,0.999871937887311,1,333926,1,325455,Gammapapillomavirus 1
10242,5.10096857722055e-11,2.61819851453906,1.89452369347975e-08,0.999890177814861,1,2696338,1,-200010699,Brevundimonas phage vB_BsubS-Delta
10245,0.0311619375495158,2.44680394956123,1.22415756198535e-07,0.99972083644997,1,273677,1,33882,Microbacterium oleivorans
10248,-1.43336606579189e-08,2.46744932463573,1.17338752048113e-08,0.999913570740298,1,37752,1,237,Flavobacterium hibernum
10263,-2.93241859640294,2.57699766058662,6.9541880621846,0.00836232415845948,0.155539229347346,1166130,1,547,Enterobacter sp. R4-368
10267,-1.43336606579189e-08,2.46744932463573,1.17338752048113e-08,0.999913570740298,1,85085,1,1742993,Pseudarthrobacter chlorophenolicus
10279,-1.37639422101531e-08,2.48999767664041,3.37442489506401e-08,0.999853431736573,1,327575,1,1016,Capnocytophaga leadbetteri
1029,0.816664735490074,3.57154640850404,2.64702173069509e-07,0.999589494674461,1,1314,1,1301,Streptococcus pyogenes
10297,-1.75824362714507e-08,2.46850632800346,-2.47394306818194e-07,1,1,2027919,1,547,Enterobacter cloacae complex sp.
10298,-0.176509091891178,2.70436451156935,-2.18421842390626e-07,1,1,67780,1,635,Edwardsiella ictaluri
