Gene.ID,logFC,logCPM,LR,PValue,FDR,tax_id,tax_level,genus_tax_id,name
1,0.507528228393455,17.3483119454464,4.70270022055628,0.0301152681757871,0.482882748335897,37124,1,11019,Chikungunya virus
10058,-0.50520376621414,2.52232751494638,-4.84716502491267e-08,1,1,1810504,1,1934947,Immundisolibacter cernigliae
10060,-0.57290759011014,2.55767901585379,3.44335542301621e-08,0.999851942304475,1,148447,1,1822464,Paraburkholderia phymatum
10101,-0.00236540656671116,4.22561086787577,6.15771877932048e-08,0.999802006933275,1,1296,1,1279,Staphylococcus sciuri
10107,-3.80615856940736e-12,3.01095234847306,8.04515210006684e-09,0.999928433926439,1,482564,1,1158,Oscillatoria nigro-viridis
10113,-4.29408177246917e-11,2.63100645578188,3.423396677249e-09,0.999953315934079,1,404011,1,22,Shewanella piezotolerans
10114,0.180609958300073,2.64474619262495,1.89121802662839e-08,0.999890273668519,1,535744,1,413496,Cronobacter universalis
1012,0.271890073110219,2.92645634604924,5.7100493222606e-08,0.999809339825067,1,549,1,53335,Pantoea agglomerans
10120,0.496218359720152,3.27181771030526,3.02776790306325e-08,0.99986116423754,1,41,1,40,Stigmatella aurantiaca
10122,-4.29408177246917e-11,2.63100645578188,3.423396677249e-09,0.999953315934079,1,33964,1,1243,Leuconostoc citreum
10124,-0.0736818272714602,2.6382264059129,1.02312048610997e-07,0.999744786616973,1,160660,1,1765964,Acidihalobacter prosperus
10126,-2.03119972764477e-12,2.53732139236598,6.33682972761562e-09,0.99993648503255,1,708126,1,1470540,Jeotgalibaca dankookensis
10127,-4.29408177246917e-11,2.63100645578188,3.423396677249e-09,0.999953315934079,1,1231,1,35798,Nitrosospira multiformis
10130,-2.65125886898955e-08,2.4952641486263,1.46737764161742e-08,0.999903347963518,1,2057026,1,547,Enterobacter sp. EA-1
10139,-0.443754270158868,2.64715692714439,1.3737632542643e-07,0.999704269580501,1,340016,1,-200,uncultured virus
10142,-2.98044759828916e-10,2.64166753943109,2.63660799859622e-08,0.999870442415539,1,11320,1,197911,Influenza A virus
10151,-0.63132096130501,3.3334274677093,9.49085201540356e-08,0.999754193900432,1,413503,1,413496,Cronobacter malonaticus
10164,-2.65125886898955e-08,2.4952641486263,1.46737764161742e-08,0.999903347963518,1,351679,1,626,Xenorhabdus hominickii
10167,0.356303745171857,2.74940079771783,2.57656678215312e-08,0.999871926062594,1,1858609,1,12916,Acidovorax sp. T1
10176,0.0592430030988676,2.54184643948285,1.86710380489785e-09,0.999965523410863,1,1891675,1,53335,Pantoea alhagi
10184,-1.42314815102264e-07,2.54502629083891,3.96935759816586e-08,0.999841035491472,1,204038,1,204037,Dickeya dadantii
10193,-1.42314815102264e-07,2.54502629083891,3.96935759816586e-08,0.999841035491472,1,421,1,416,Methylomonas methanica
