Gene.ID,logFC,logCPM,LR,PValue,FDR,tax_id,tax_level,genus_tax_id,name
1,-0.0436162577162095,17.3483119454464,1.03282680063307,0.309495657035062,1,37124,1,11019,Chikungunya virus
10058,0.0721719665891776,2.52232751494638,1.5958318222431e-08,0.999899206245927,1,1810504,1,1934947,Immundisolibacter cernigliae
10060,0.0818439414351883,2.55767901585379,6.68320976338066e-08,0.999793731646066,1,148447,1,1822464,Paraburkholderia phymatum
10101,0.000788468855545651,4.22561086787577,-6.12264727806178e-09,1,1,1296,1,1279,Staphylococcus sciuri
10107,6.51269932997887e-13,3.01095234847306,-2.17603144392342e-08,1,1,482564,1,1158,Oscillatoria nigro-viridis
10113,7.34756371264192e-12,2.63100645578188,-1.0764069635627e-08,1,1,404011,1,22,Shewanella piezotolerans
10114,-0.0602033194631698,2.64474619262495,6.75348896805872e-08,0.999792649945437,1,535744,1,413496,Cronobacter universalis
1012,-0.0388414390142282,2.92645634604924,1.81340130467333e-07,0.999660228450866,1,549,1,53335,Pantoea agglomerans
10120,-0.0708883371028729,3.27181771030526,1.26362394325952e-07,0.999716372082962,1,41,1,40,Stigmatella aurantiaca
10122,7.34756371264192e-12,2.63100645578188,-1.0764069635627e-08,1,1,33964,1,1243,Leuconostoc citreum
10124,0.0245606090837159,2.6382264059129,2.23733387372249e-09,0.999962259690246,1,160660,1,1765964,Acidihalobacter prosperus
10126,3.47539130931533e-13,2.53732139236598,-1.19907177520417e-08,1,1,708126,1,1470540,Jeotgalibaca dankookensis
10127,7.34756371264192e-12,2.63100645578188,-1.0764069635627e-08,1,1,1231,1,35798,Nitrosospira multiformis
10130,4.43358221749197e-09,2.4952641486263,1.62465991770944e-07,0.99967839611772,1,2057026,1,547,Enterobacter sp. EA-1
10139,0.0633934675627518,2.64715692714439,1.48792967280542e-07,0.999692226478946,1,340016,1,-200,uncultured virus
10142,5.09005405405468e-11,2.64166753943109,-2.54134109312076e-08,1,1,11320,1,197911,Influenza A virus
10151,0.0901887087581033,3.3334274677093,6.81900438337379e-08,0.999791646624226,1,413503,1,413496,Cronobacter malonaticus
10164,4.43358221749197e-09,2.4952641486263,1.62465991770944e-07,0.99967839611772,1,351679,1,626,Xenorhabdus hominickii
10167,-0.118767933263151,2.74940079771783,3.06521918957969e-10,0.999986030822707,1,1858609,1,12916,Acidovorax sp. T1
10176,-0.00846328613624806,2.54184643948285,-1.46665666278523e-08,1,1,1891675,1,53335,Pantoea alhagi
10184,2.24191777699942e-08,2.54502629083891,-3.47789641530483e-08,1,1,204038,1,204037,Dickeya dadantii
10193,2.24191777699942e-08,2.54502629083891,-3.47789641530483e-08,1,1,421,1,416,Methylomonas methanica
10198,0.0818438964204725,2.74385005138123,-8.75590728810494e-08,1,1,84135,1,1378,Gemella sanguinis
1020,-0.0251259851940341,2.4536715196913,-1.33033494220669e-07,1,1,651183,1,182269,Aurantimonas manganoxydans
10211,-0.111202975624242,2.69047237014367,-3.73391824126657e-08,1,1,61648,1,579,Kluyvera intermedia
10212,2.24191777699942e-08,2.54502629083891,-3.47789641530483e-08,1,1,261292,1,914,Nitrosomonas sp. Is79A3
10213,2.24191777699942e-08,2.54502629083891,-3.47789641530483e-08,1,1,59620,1,1485,uncultured Clostridium sp.
10222,-0.00259457516644877,2.4909259569666,-3.83541607362758e-08,1,1,83406,1,-200,gamma proteobacterium HdN1
10226,-5.64811528803945e-11,2.53404258581776,-2.99030444850246e-09,1,1,333926,1,325455,Gammapapillomavirus 1
10242,-1.7698161874616e-12,2.61819851453906,2.09538946194243e-07,0.999634764970312,1,2696338,1,-200010699,Brevundimonas phage vB_BsubS-Delta
10245,0.000656485732392161,2.44680394956123,6.20382811789e-08,0.999801267024313,1,273677,1,33882,Microbacterium oleivorans
10248,4.94840470448591e-10,2.46744932463573,1.35420765712269e-08,0.999907149832174,1,37752,1,237,Flavobacterium hibernum
10263,0.108381710515876,2.57699766058662,6.85788023479602,0.00882511822220801,0.131295699381422,1166130,1,547,Enterobacter sp. R4-368
10267,4.94840470448591e-10,2.46744932463573,1.35420765712269e-08,0.999907149832174,1,85085,1,1742993,Pseudarthrobacter chlorophenolicus
10279,4.53466665535795e-10,2.48999767664041,4.16161372029933e-08,0.999837231282411,1,327575,1,1016,Capnocytophaga leadbetteri
1029,-0.0452541889125187,3.57154640850404,3.55897142867434e-08,0.999849477192628,1,1314,1,1301,Streptococcus pyogenes
10297,6.07236435645597e-10,2.46850632800346,-2.4365214557065e-07,1,1,2027919,1,547,Enterobacter cloacae complex sp.
10298,-0.00638833348695138,2.70436451156935,-8.91217855070181e-08,1,1,67780,1,635,Edwardsiella ictaluri
1030,-0.0560324613835337,7.16908298582709,1.7474160475079,0.186201901197706,0.970127552458637,1313,1,1301,Streptococcus pneumoniae
10300,-0.0762897874763779,2.7039316364752,2.40125972439387e-08,0.999876359820167,1,748103,1,286,Pseudomonas sp. LQ26
10305,0.0725363561336026,2.75476079583546,2.37713006612239e-07,0.999610984848409,1,67825,1,544,Citrobacter rodentium
1032,-0.112072838906181,3.62719451789069,5.58567965182267,0.018107905216995,0.20445592034551,382,1,28105,Sinorhizobium meliloti
1034,-0.1052614817294,3.41958487031315,8.26438682604443,0.00404303140961643,0.0891041765058467,35806,1,34008,Rhodovulum sulfidophilum
10367,0.0892889206984819,2.87811663637688,6.99464508795261,0.00817539168863767,0.125671310255091,1855519,1,165695,Sphingobium sp. EP60837
10377,1.04970971852441e-09,2.49208446616696,-7.21735249342714e-09,1,1,28097,1,48736,Ralstonia syzygii
10380,-0.0215082693216005,2.74766045496151,-3.90107679493212e-08,1,1,678601,1,1279,Staphylococcus sp. CDC3
10381,-3.68761755083819e-11,2.53811095646815,-1.36135192008169e-09,1,1,29379,1,1279,Staphylococcus auricularis
