Gene.ID,logFC,logCPM,LR,PValue,FDR,tax_id,tax_level,genus_tax_id,name
1,-2.21408899742516,17.3483119454464,1.50255656316864,0.220278411583921,1,37124,1,11019,Chikungunya virus
10058,2.20693465650401,2.52232751494638,-8.05219397825852e-08,1,1,1810504,1,1934947,Immundisolibacter cernigliae
10060,2.50165770353521,2.55767901585379,-5.85435966371506e-09,1,1,148447,1,1822464,Paraburkholderia phymatum
10101,-6.188743255375,4.22561086787577,1.88262410105722e-07,0.999653804152039,1,1296,1,1279,Staphylococcus sciuri
10107,-4.87557934321568,3.01095234847306,7.87782177269492e-08,0.999776054091978,1,482564,1,1158,Oscillatoria nigro-viridis
10113,-3.45837436914199,2.63100645578188,5.49035057417768e-08,0.999813043703803,1,404011,1,22,Shewanella piezotolerans
10114,-4.71987171489265,2.64474619262495,1.1644156039381e-07,0.99972773359224,1,535744,1,413496,Cronobacter universalis
1012,-1.19295944949737,2.92645634604924,3.44930736417837e-07,0.999531396007643,1,549,1,53335,Pantoea agglomerans
10120,-6.7864626022912,3.27181771030526,1.69348449929885e-07,0.999671654807315,1,41,1,40,Stigmatella aurantiaca
10122,-3.45837436914199,2.63100645578188,5.49035057417768e-08,0.999813043703803,1,33964,1,1243,Leuconostoc citreum
10124,-2.88664759467909,2.6382264059129,1.01885552439285e-07,0.999745319111438,1,160660,1,1765964,Acidihalobacter prosperus
10126,-2.39795803696143,2.53732139236598,7.60560832091528e-08,0.999779957265168,1,708126,1,1470540,Jeotgalibaca dankookensis
10127,-3.45837436914199,2.63100645578188,5.49035057417768e-08,0.999813043703803,1,1231,1,35798,Nitrosospira multiformis
10130,-1.89096494871039,2.4952641486263,2.1050182041904e-08,0.999884237475815,1,2057026,1,547,Enterobacter sp. EA-1
10139,-0.994130268884294,2.64715692714439,3.11421288756719e-09,0.999955473945857,1,340016,1,-200,uncultured virus
10142,-3.2067711303709,2.64166753943109,4.45846701779828e-08,0.999831526019344,1,11320,1,197911,Influenza A virus
10151,-1.87470405945519,3.3334274677093,-4.91477081254743e-09,1,1,413503,1,413496,Cronobacter malonaticus
10164,-1.89096494871039,2.4952641486263,2.1050182041904e-08,0.999884237475815,1,351679,1,626,Xenorhabdus hominickii
10167,-3.55384267458062,2.74940079771783,9.13267550473051e-08,0.999758876761304,1,1858609,1,12916,Acidovorax sp. T1
10176,-1.7125425116747,2.54184643948285,3.86948357800065e-08,0.999843048105369,1,1891675,1,53335,Pantoea alhagi
10184,-2.54555449143946,2.54502629083891,6.05161352140726e-08,0.999803720180743,1,204038,1,204037,Dickeya dadantii
10193,-2.54555449143946,2.54502629083891,6.05161352140726e-08,0.999803720180743,1,421,1,416,Methylomonas methanica
10198,-0.705115195949823,2.74385005138123,7.81078668410373e-09,0.999929484035652,1,84135,1,1378,Gemella sanguinis
1020,-0.545156537841325,2.4536715196913,1.21877863357156e-09,0.999972145043961,1,651183,1,182269,Aurantimonas manganoxydans
10211,-3.32635239024085,2.69047237014367,-2.16711891987131e-07,1,1,61648,1,579,Kluyvera intermedia
10212,-2.54555449143946,2.54502629083891,6.05161352140726e-08,0.999803720180743,1,261292,1,914,Nitrosomonas sp. Is79A3
10213,-2.54555449143946,2.54502629083891,6.05161352140726e-08,0.999803720180743,1,59620,1,1485,uncultured Clostridium sp.
10222,-1.32105208998627,2.4909259569666,2.83344734341995e-08,0.999865693314174,1,83406,1,-200,gamma proteobacterium HdN1
10226,-2.46387954512126,2.53404258581776,-3.42574240086435e-08,1,1,333926,1,325455,Gammapapillomavirus 1
10242,-3.00342291676198,2.61819851453906,2.34745840987927e-07,0.999613420341766,1,2696338,1,-200010699,Brevundimonas phage vB_BsubS-Delta
10245,-0.0311617545899543,2.44680394956123,9.04692587511136e-09,0.99992410894734,1,273677,1,33882,Microbacterium oleivorans
10248,-1.46640055595691,2.46744932463573,2.15651650536941e-07,0.999629475918722,1,37752,1,237,Flavobacterium hibernum
10263,2.9324185865145,2.57699766058662,2.92878910457262e-07,0.999568198555927,1,1166130,1,547,Enterobacter sp. R4-368
10267,-1.46640055595691,2.46744932463573,2.15651650536941e-07,0.999629475918722,1,85085,1,1742993,Pseudarthrobacter chlorophenolicus
10279,-1.94942280831419,2.48999767664041,-5.4033276741805e-08,1,1,327575,1,1016,Capnocytophaga leadbetteri
1029,-1.52417503566629,3.57154640850404,1.38600817933821e-07,0.999702954520172,1,1314,1,1301,Streptococcus pyogenes
10297,-1.48762455574538,2.46850632800346,-5.91637621116803e-08,1,1,2027919,1,547,Enterobacter cloacae complex sp.
10298,-3.04667217357882,2.70436451156935,-1.89257214344707e-08,1,1,67780,1,635,Edwardsiella ictaluri
1030,-0.733958225460102,7.16908298582709,0.235934224057729,0.627158178985744,1,1313,1,1301,Streptococcus pneumoniae
10300,-5.32145840618039,2.7039316364752,8.31357436226199e-08,0.999769943796619,1,748103,1,286,Pseudomonas sp. LQ26
10305,-1.66948566590984,2.75476079583546,-7.38245606868304e-08,1,1,67825,1,544,Citrobacter rodentium
1032,-2.02949274653435,3.62719451789069,2.37169612350487,0.12355274634843,1,382,1,28105,Sinorhizobium meliloti
1034,-0.0332227401058028,3.41958487031315,0.875143435036591,0.34953531276347,1,35806,1,34008,Rhodovulum sulfidophilum
10367,-0.0493836313040404,2.87811663637688,2.519284478808e-07,0.999599522013496,1,1855519,1,165695,Sphingobium sp. EP60837
10377,-1.97751417956229,2.49208446616696,-3.97335702118085e-08,1,1,28097,1,48736,Ralstonia syzygii
10380,-2.94248916510026,2.74766045496151,3.90998131649667e-08,0.999842228919531,1,678601,1,1279,Staphylococcus sp. CDC3
10381,-2.49817299328244,2.53811095646815,-2.55635232981888e-08,1,1,29379,1,1279,Staphylococcus auricularis
10395,-1.48762455574538,2.46850632800346,-5.91637621116803e-08,1,1,28152,1,629,Yersinia kristensenii
10397,-2.49817299328244,2.53811095646815,-2.55635232981888e-08,1,1,271,1,270,Thermus aquaticus
10398,-1.48762455574538,2.46850632800346,-5.91637621116803e-08,1,1,394935,1,535,Chromobacterium haemolyticum
1040,0.441216841991017,4.77211009305674,0.0620716478937311,0.803251079233791,1,28141,1,413496,Cronobacter sakazakii
1041,-5.75979403179175,3.92956071979242,11.3740055811878,0.000744790882004808,0.0469825011793054,413502,1,413496,Cronobacter turicensis
10410,-6.0420661211213,2.92342278241947,1.99009974721776e-07,0.999644059448219,1,56460,1,338,Xanthomonas vesicatoria
10419,-3.89575595267722,2.56578619431414,1.1762356866285e-07,0.99972635518172,1,1882747,1,1033,Afipia sp. GAS231
10422,-2.02951548888229,2.49644149395789,-1.7852270772778e-08,1,1,28087,1,445,Legionella sainthelensi
10424,-2.49817299328244,2.53811095646815,-2.55635232981888e-08,1,1,1804984,1,32008,Burkholderia sp. OLGA172
10431,2.03432211063275,2.6063500444119,2.94364426167704e-08,0.99986310653334,1,1177574,1,838,Prevotella jejuni
10444,-0.0494159596413675,2.44973663984301,1.12452047673628e-09,0.999973243842397,1,216142,1,286,Pseudomonas rhizosphaerae
10461,-0.0873298713480605,2.46519060894154,2.25630181205361e-10,0.999988014982912,1,73098,1,579,Kluyvera georgiana
10465,-0.0742419963021719,2.45491230454772,8.53646042742184e-11,0.999992628107778,1,708186,1,28196,Arcobacter trophiarum
10466,-0.0742419963021719,2.45491230454772,8.53646042742184e-11,0.999992628107778,1,90270,1,338,Xanthomonas gardneri
1047,-5.62333334099243,4.44380679063774,11.4899110790674,0.000699749845518134,0.0469825011793054,29405,1,29404,Microlunatus phosphovorus
10485,-0.0494159596413675,2.44973663984301,1.12452047673628e-09,0.999973243842397,1,1147,1,1142,Synechocystis sp. PCC 6714
10488,-0.0873298713480605,2.46519060894154,2.25630181205361e-10,0.999988014982912,1,446,1,445,Legionella pneumophila
1049,8.60743033868108,3.26306812631701,-2.36832232047846e-07,1,1,34105,1,34104,Streptobacillus moniliformis
10494,-0.0661614571357144,2.45132462527716,8.57198489967459e-09,0.999926127846519,1,1862950,1,-200,Rhizobiales bacterium NRL2
1051,-2.41893384048884,3.48939800757872,1.62014338878043,0.203071795219105,1,106592,1,106591,Ensifer adhaerens
10544,0.17195655932494,2.47671119503058,1.18009140237518e-08,0.999913324195014,1,2077148,1,544,Citrobacter freundii complex sp. CFNIH4
10552,1.60937859297058,2.4940887954768,4.92960285924937e-08,0.999822848014447,1,204,1,194,Campylobacter showae
10556,-1.66666466817364,2.54014492334499,1.50792267561428e-08,0.999902021768455,1,62140,1,522,Acidiphilium multivorum
